No;Nama;CAGR_1Y;Expense_Ratio;Total_AUM;Drawdown_1Y;Jenis;Tingkat_Risiko;NAV;;
1;Batavia Dana Kas Maxima;2,79;1,99;10,1;0;Pasar Uang;Rendah;1673,65;;
2;Sucorinvest Money Market Fund;3,65;1,49;6,01;-0,01;Pasar Uang;Rendah;1703,87;;
3;Bahana Dana Likuid;2,83;1,27;5,92;-0,01;Pasar Uang;Rendah;1740,51;;
4;TRIM Kas 2;3,87;1,02;3,44;0;Pasar Uang;Rendah;1754,4526;;
5;Manulife Dana Kas II Kelas A;2,76;1,06;2,77;-0,04;Pasar Uang;Rendah;1671,64;;
6;Sucorinvest Sharia Money Market Fund;3,55;0,95;2,25;0;Pasar Uang;Rendah;1287,26;;
7;Danamas Rupiah Plus;3,79;1,26;1,92;0;Pasar Uang;Rendah;1639,8256;;
8;BNP Paribas Rupiah Plus;1,81;0,79;1,83;-0,01;Pasar Uang;Rendah;2338,15;;
9;Danareksa Seruni Pasar Uang II Kelas A;2,62;1,13;1,69;-0,12;Pasar Uang;Rendah;1662,9668;;
10;Schroder Dana Likuid;2,15;1,24;1,43;-0,27;Pasar Uang;Rendah;1519,1;;
11;Danareksa Seruni Pasar Uang III;3,11;1,15;1,32;-0,07;Pasar Uang;Rendah;1624,6278;;
12;Bahana Likuid Syariah Kelas G;3,35;0,33;0,78;0;Pasar Uang;Rendah;1114,92;;
13;BNI-AM Dana Likuid;2,95;0,51;0,77;-0,1;Pasar Uang;Rendah;1778,4;;
14;Trimegah Kas Syariah;3,82;0,84;0,32;0;Pasar Uang;Rendah;1316,8273;;
15;Majoris Pasar Uang Syariah Indonesia;4,2;0,59;0,21;0;Pasar Uang;Rendah;1271,701;;
16;Jarvis Money Market Fund;2,84;1,28;0,2;0;Pasar Uang;Rendah;1180,5;;
17;BNI-AM Dana Lancar Syariah;3,22;0,36;0,13;-0,06;Pasar Uang;Rendah;1662,13;;
18;Principal Cash Fund;2,94;0,6;0,12;-0,13;Pasar Uang;Rendah;1738,34;;
19;Eastspring Investments Cash Reserve Kelas A;1,92;0,3;0,1;-0,21;Pasar Uang;Rendah;1582,07;;
20;Manulife Dana Kas Syariah;2,66;0,93;0,08;-0,1;Pasar Uang;Rendah;1197;;
21;Avrist Ada Kas Mutiara;4,02;0,23;0,06;-0,08;Pasar Uang;Rendah;1352,72;;
22;Mandiri Pasar Uang Syariah Ekstra;2,33;0,6;0,06;-0,01;Pasar Uang;Rendah;1146,716;;
23;Schroder Dana Likuid Syariah;2,47;1,29;0,05;-0,19;Pasar Uang;Rendah;1085,7949;;
24;Sucorinvest Stable Fund;5,68;1,25;9,1;-0,09;Obligasi;Sedang;1266,3;;
25;Danamas Stabil;5,77;1,76;17,11;0;Obligasi;Sedang;4395,0198;;
26;Eastspring IDR Fixed Income Fund Kelas A;10,32;0,29;5,86;-2,36;Obligasi;Sedang;1663,89;;
27;ABF Indonesia Bond Index Fund;11,47;0,21;5,1;-2,19;Obligasi;Sedang;50533,1016;;
28;Manulife Obligasi Negara Indonesia II Kelas A;10,88;2,73;4,41;-2,51;Obligasi;Sedang;2834,75;;
29;Sucorinvest Sharia Sukuk Fund;6,03;0,8;3,36;-0,05;Obligasi;Sedang;1097,14;;
30;Manulife Obligasi Unggulan Kelas A;8,48;1,31;2,51;-4,68;Obligasi;Sedang;2870,24;;
31;Schroder Dana Mantap Plus II;8,77;1,53;2,47;-3,76;Obligasi;Sedang;2947,27;;
32;Batavia Dana Obligasi Ultima;6,68;1,78;1,36;-2,44;Obligasi;Sedang;2911,83;;
33;Eastspring Syariah Fixed Income Amanah Kelas A;4,87;0,99;0,88;-1,27;Obligasi;Sedang;1402,18;;
34;BNP Paribas Prima II Kelas RK1;9,85;1,63;0,68;-2,44;Obligasi;Sedang;2950,46;;
35;Bahana MES Syariah Fund Kelas G;5,26;2,18;0,57;-2,06;Obligasi;Sedang;1458,42;;
36;Sucorinvest Bond Fund;4,28;2,13;0,5;-4,48;Obligasi;Sedang;1588,2;;
37;Bahana Pendapatan Tetap Makara Prima Kelas G;7,32;2,31;0,4;-1,11;Obligasi;Sedang;3127,131;;
38;Majoris Sukuk Negara Indonesia;5,07;1,14;0,33;-1,66;Obligasi;Sedang;1321,6498;;
39;BNI-AM Dana Pendapatan Tetap Makara Investasi;6,87;1,23;0,27;-2,25;Obligasi;Sedang;1236,038;;
40;BNI-AM Dana Pendapatan Tetap Syariah Ardhani;6,53;0,58;0,22;-1,86;Obligasi;Sedang;1542,09;;
41;TRIM Dana Tetap 2;6,2;1,84;0,19;-0,62;Obligasi;Sedang;2947,05;;
42;Mandiri Investa Dana Syariah;4,38;2,9;0,11;-1,02;Obligasi;Sedang;4129,59;;
43;TRAM Strategic Plus;11,29;1,88;0,1;-2,72;Obligasi;Sedang;1934,24;;
44;BNP Paribas Omega;7,44;1,65;0,09;-1,73;Obligasi;Sedang;1761,3;;
45;BNI-AM ITB Harmoni;9,6;1,27;0,08;-1,94;Obligasi;Sedang;1373,8711;;
46;Avrist Prime Bond Fund;11,3;1,12;0,08;-2,63;Obligasi;Sedang;1742,67;;
47;Mandiri Investasi Obligasi Nasional;4,87;2,56;0,08;-8,78;Obligasi;Sedang;1028,86;;
48;Danamas Pasti;5,2;2,8;0,07;0;Obligasi;Sedang;4446,8386;;
49;Eastspring Investments Yield Discovery Kelas A;2,27;0,94;0,06;-3,88;Obligasi;Sedang;1606,6;;
50;Victoria Obligasi Negara Syariah;6,02;0,41;0,05;-1,44;Obligasi;Sedang;1307,2662;;
51;Principal Total Return Bond Fund;0,07;1,84;0,03;-4,52;Obligasi;Sedang;2561,02;;
52;Manulife USD Fixed Income Kelas A;1,28;1,32;0,06;-5,78;Obligasi;Sedang;17328,72;;
53;Schroder USD Bond Fund;1,66;1,23;0,05;-6,04;Obligasi;Sedang;23752,29;;
54;BNP Paribas Prima USD Kelas RK1;3,37;1,51;0,00004;-7,97;Obligasi;Sedang;18665;;
55;BNI-AM Indeks IDX30;-7,06;1,57;1,7;-17,99;Saham;Tinggi;854,79;;
56;Manulife Dana Saham Kela A;-10,51;3,06;5,11;-19,72;Saham;Tinggi;10325,29;;
57;Batavia Dana Saham;0,35;4,34;4,14;-11,41;Saham;Tinggi;61166,54;;
58;Sucorinvest Equity Fund;-7,15;4,73;3,33;-18,75;Saham;Tinggi;2580,53;;
59;Manulife Saham Andalan;-14,43;4,75;2,43;-26,03;Saham;Tinggi;2082,84;;
60;Bahana Primavera 99 Kelas G;1,12;1,35;1,9;-10,79;Saham;Tinggi;1261,37;;
61;BNI-AM Dana Saham Inspiring Equity Fund;-3,99;1,63;1,31;-14,22;Saham;Tinggi;989,3255;;
62;BNP Paribas Ekuitas;4,68;2,72;1,11;-9,66;Saham;Tinggi;18852,852;;
63;BNP Paribas SRI KEHATI;8,75;2,13;1,06;-11,86;Saham;Tinggi;1131,97;;
64;Schroder 90 Plus Equity Fund;5,18;2,7;0,91;-12,45;Saham;Tinggi;2057,03;;
65;BNP Paribas Pesona;1,81;3,11;0,74;-10,24;Saham;Tinggi;26218,98;;
66;Schroder Dana Istimewa;0,07;3,93;0,73;-11,72;Saham;Tinggi;6844,24;;
67;Simas Saham Unggulan;-2,04;4,01;0,72;11,55;Saham;Tinggi;1283,443;;
68;BNP Paribas Infrastruktur Plus;-0,97;3,18;0,72;-12,22;Saham;Tinggi;2890,96;;
69;Eastspring Investments Value Discovery Kelas A;-7,45;2,05;0,7;-16,58;Saham;Tinggi;1294,03;;
70;BNP Paribas Pesona Syariah;-0,05;2,73;0,66;-7,79;Saham;Tinggi;244,86;;
71;Suchorinvest Sharia Equity Fund;-15,13;4,75;0,56;-19,3;Saham;Tinggi;1815,43;;
72;Avrist Ada Saham Blue Safir;-2,06;1,5;0,3422;-11,67;Saham;Tinggi;1064,92;;
73;Danareksa Mawar Konsumer 10 Kelas A;-1,81;4,05;0,33735;-11,45;Saham;Tinggi;1587,6276;;
74;TRAM Consumption Plus Kelas A;-3,28;4,16;0,27596;-13,11;Saham;Tinggi;1779,14;;
75;BNP Paribas Solaris;-13,42;4,39;0,25705;-19,95;Saham;Tinggi;1849,52;;
76;TRIM Kapital;0,59;6,14;0,25327;-12,52;Saham;Tinggi;11475,51;;
77;Manulife Syariah Sektoral Amanah Kelas A;-5,88;3,11;0,22791;-15,83;Saham;Tinggi;3463,29;;
78;Avrist IDX30;-6,22;1,45;0,23;-16,1;Saham;Tinggi;929,92;;
79;Sucorinvest Maxi Fund;-1,75;5,46;0,2;-18;Saham;Tinggi;1822,06;;
80;TRIM Kapitas Plus;-0,51;6,45;0,17;-13,14;Saham;Tinggi;4062,22;;
81;Batavia Dana Saham Syariah;-2,42;4,6;0,11;-9,7;Saham;Tinggi;1790,93;;
82;Principal Islamic Equity Growth Syariah;-0,9;5,65;0,11;-8,14;Saham;Tinggi;1190,11;;
83;Principal Index IDX30 Kelas O;-7,97;1,95;0,105;17,87;Saham;Tinggi;1310,53;;
84;TRIM Syariah Saham;-7,19;7,59;0,01;-13,09;Saham;Tinggi;1807,84;;
85;Mandiri Investa Atraktif-Syariah;2,7;6,1;0,06;-7,68;Saham;Tinggi;956,82;;
86;Danareksa Indeks Syariah;-5,02;1,81;0,041;-13,33;Saham;Tinggi;2341,83;;
87;Simas Syariah Unggulan;2,08;4,54;0,04;-10,66;Saham;Tinggi;611,0724;;
88;Majoris Saham Alokasi Dinamik Indonesia;-0,23;4,76;0,032;-13,35;Saham;Tinggi;930,8528;;
89;Eastspring IDX ESG Leaders Plus Kelas A;-4,96;0;0,027;-12,09;Saham;Tinggi;946,87;;
90;TRAM Infrastructure Plus;0,89;5,63;0,021;-14,99;Saham;Tinggi;1342,69;;
91;Mandiri Indeks FTSE Indonesia ESG Kelas A;1,59;0;0,007;-10,77;Saham;Tinggi;1015,94;;
